level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2200	959	-1	
2	1	1	0	0	0	39	9	2038	68	-1	
3	1	1	1	0	0	39	9	2038	68	-1	
4	1	1	1	1	0	45	9	2032	37	-1	
5	1	1	1	1	1	45	42	5	3	6.491386	;
5	1	1	1	1	2	616	20	56	26	94.626289	ABC
5	1	1	1	1	3	692	20	131	26	60.889721	TRADING
5	1	1	1	1	4	840	20	40	26	75.065727	CO
5	1	1	1	1	5	1486	13	56	22	46.853340	lav
5	1	1	1	1	6	1556	19	32	15	46.853340	ce
5	1	1	1	1	7	1603	13	37	22	34.556343	MD
5	1	1	1	1	8	1725	9	119	26	82.964699	01-3202
5	1	1	1	1	9	1939	13	87	28	0.000000	ip
5	1	1	1	1	10	2042	24	35	17	0.000000	~~;
4	1	1	1	2	0	39	45	1328	32	-1	
5	1	1	1	2	1	39	46	138	22	35.669189	Custaner
5	1	1	1	2	2	194	45	88	23	85.380562	Nate
5	1	1	1	2	3	623	71	1	3	30.524155	5
5	1	1	1	2	4	666	69	5	8	58.589077	et
5	1	1	1	2	5	806	71	2	3	19.639168	,
5	1	1	1	2	6	883	70	2	3	20.615524	:
5	1	1	1	2	7	1247	56	64	14	16.695740	el
5	1	1	1	2	8	1326	48	41	22	36.412338	ol
2	1	2	0	0	0	1445	50	689	12	-1	
3	1	2	1	0	0	1445	50	689	12	-1	
4	1	2	1	1	0	1445	50	689	12	-1	
5	1	2	1	1	1	1445	50	689	12	95.000000	 
2	1	3	0	0	0	1469	81	624	32	-1	
3	1	3	1	0	0	1469	81	624	32	-1	
4	1	3	1	1	0	1469	81	624	32	-1	
5	1	3	1	1	1	1469	85	104	22	30.254128	vote
5	1	3	1	1	2	1587	81	69	26	90.526329	Date
5	1	3	1	1	3	1671	77	34	40	11.150673	FL
5	1	3	1	1	4	1716	81	156	31	0.000000	74-2026
5	1	3	1	1	5	1885	77	17	40	27.646454	|
5	1	3	1	1	6	1928	87	87	26	23.364265	bet
5	1	3	1	1	7	2032	87	61	25	18.730133	aU
2	1	4	0	0	0	2	122	2132	12	-1	
3	1	4	1	0	0	2	122	2132	12	-1	
4	1	4	1	1	0	2	122	2132	12	-1	
5	1	4	1	1	1	2	122	2132	12	95.000000	 
2	1	5	0	0	0	361	153	1749	104	-1	
3	1	5	1	0	0	361	153	1749	104	-1	
4	1	5	1	1	0	361	153	1024	45	-1	
5	1	5	1	1	1	361	153	70	26	88.534088	0345
5	1	5	1	1	2	458	153	56	26	77.424774	13D
5	1	5	1	1	3	538	156	126	23	85.402000	AlManar
5	1	5	1	1	4	682	154	53	25	24.901520	Dig
5	1	5	1	1	5	760	154	138	25	83.994736	DAMMAN
5	1	5	1	1	6	914	153	87	26	18.750381	SAUCY
5	1	5	1	1	7	1020	154	109	24	51.430950	ARABIA
5	1	5	1	1	8	1281	175	4	6	30.810020	Ht
5	1	5	1	1	9	1331	174	54	24	28.250488	staal
4	1	5	1	2	0	367	186	1743	43	-1	
5	1	5	1	2	1	367	198	24	18	44.161930	WP
5	1	5	1	2	2	440	193	69	24	0.000000	-PLOO
5	1	5	1	2	3	542	197	94	24	0.000000	Sgapaedl
5	1	5	1	2	4	663	208	23	12	17.440125	iy
5	1	5	1	2	5	697	196	37	27	0.000000	aP
5	1	5	1	2	6	752	197	78	21	0.000000	SSbas!
5	1	5	1	2	7	863	197	62	20	32.395485	plu!
5	1	5	1	2	8	959	197	81	32	30.438095	ail
5	1	5	1	2	9	1063	197	50	26	61.206917	Ju
5	1	5	1	2	10	1213	186	127	39	19.874390	earl
5	1	5	1	2	11	1493	192	53	26	31.793785	Ose
5	1	5	1	2	12	1569	192	65	26	35.038086	Gate
5	1	5	1	2	13	1693	192	179	31	31.205681	92040-2025
5	1	5	1	2	14	1888	182	14	51	64.060120	|
5	1	5	1	2	15	1921	198	100	24	30.818375	jus
5	1	5	1	2	16	2050	198	60	31	41.736229	at
4	1	5	1	3	0	576	229	764	28	-1	
5	1	5	1	3	1	576	231	31	26	0.000000	2P
5	1	5	1	3	2	626	226	104	41	0.000000	Postal
5	1	5	1	3	3	738	231	68	26	48.592491	Code:
5	1	5	1	3	4	839	230	86	27	89.798309	32273
5	1	5	1	3	5	1266	229	74	16	44.368938	—
2	1	6	0	0	0	78	170	165	26	-1	
3	1	6	1	0	0	78	170	165	26	-1	
4	1	6	1	1	0	78	170	165	26	-1	
5	1	6	1	1	1	78	170	31	26	0.000000	Ou
5	1	6	1	1	2	117	174	126	21	0.000000	starrer’s
2	1	7	0	0	0	100	216	119	24	-1	
3	1	7	1	0	0	100	216	119	24	-1	
4	1	7	1	1	0	100	216	119	24	-1	
5	1	7	1	1	1	100	216	55	24	0.000000	Ad
5	1	7	1	1	2	168	223	51	16	0.000000	tes
2	1	8	0	0	0	2	277	2132	10	-1	
3	1	8	1	0	0	2	277	2132	10	-1	
4	1	8	1	1	0	2	277	2132	10	-1	
5	1	8	1	1	1	2	277	2132	10	95.000000	 
2	1	9	0	0	0	971	307	6	9	-1	
3	1	9	1	0	0	971	307	6	9	-1	
4	1	9	1	1	0	971	307	6	9	-1	
5	1	9	1	1	1	971	307	6	9	0.000000	'
2	1	10	0	0	0	353	303	722	29	-1	
3	1	10	1	0	0	353	303	722	29	-1	
4	1	10	1	1	0	353	303	722	29	-1	
5	1	10	1	1	1	353	306	8	22	47.548172	1
5	1	10	1	1	2	392	305	28	23	81.554199	10
5	1	10	1	1	3	439	312	62	20	51.730022	Gags
5	1	10	1	1	4	518	307	103	21	7.445618	feturre
5	1	10	1	1	5	638	307	82	25	0.000000	Oolcy.
5	1	10	1	1	6	748	303	11	26	93.633163	2.
5	1	10	1	1	7	788	303	52	25	35.379578	Fisk
5	1	10	1	1	8	859	312	137	18	35.461052	gasses
5	1	10	1	1	9	968	299	32	37	76.235809	to
5	1	10	1	1	10	1072	308	3	10	88.969055	t
2	1	11	0	0	0	40	308	2043	190	-1	
3	1	11	1	0	0	40	308	2043	190	-1	
4	1	11	1	1	0	1013	308	139	24	-1	
5	1	11	1	1	1	1013	308	44	20	70.770737	ta
5	1	11	1	1	2	1071	312	81	20	4.146347	Guyer
4	1	11	1	2	0	356	347	788	30	-1	
5	1	11	1	2	1	356	356	69	18	0.000000	ufen
5	1	11	1	2	2	444	356	113	21	0.000000	Gelviry.
5	1	11	1	2	3	583	347	159	29	2.360840	Oanersh¢
5	1	11	1	2	4	754	349	27	23	84.824409	of
5	1	11	1	2	5	804	356	77	21	24.478119	goods
5	1	11	1	2	6	898	356	116	16	11.789238	rermnaite
5	1	11	1	2	7	1031	352	51	21	96.037827	with
5	1	11	1	2	8	1103	351	41	21	78.308090	te
4	1	11	1	3	0	40	386	2043	39	-1	
5	1	11	1	3	1	40	386	132	28	6.952675	Payrnent
5	1	11	1	3	2	185	386	91	25	7.779770	Terres
5	1	11	1	3	3	411	395	132	19	43.632893	Camperiy
5	1	11	1	3	4	561	390	53	21	60.614029	until
5	1	11	1	3	5	637	387	32	25	27.295082	fall
5	1	11	1	3	6	693	390	304	25	6.018982	payne
5	1	11	1	3	7	795	382	29	37	6.018982	rt
5	1	11	1	3	8	841	382	17	37	32.169266	6
5	1	11	1	3	9	872	390	125	25	44.949955	received.
5	1	11	1	3	10	1028	386	8	26	81.152313	3.
5	1	11	1	3	11	1064	389	32	22	83.341965	All
5	1	11	1	3	12	1231	390	49	33	46.667038	hill
5	1	11	1	3	13	1303	381	33	46	38.182381	day
5	1	11	1	3	14	1349	381	25	46	52.853325	pal
5	1	11	1	3	15	1508	386	49	26	87.946098	Our
5	1	11	1	3	16	1574	386	46	25	95.284599	Ref
5	1	11	1	3	17	1935	390	93	35	0.000000	porved!
5	1	11	1	3	18	2050	401	33	16	53.327286	od
4	1	11	1	4	0	366	429	775	25	-1	
5	1	11	1	4	1	366	429	60	25	0.000000	Joti
5	1	11	1	4	2	437	430	76	21	0.000000	cate
5	1	11	1	4	3	531	430	78	20	22.028366	tikees,
5	1	11	1	4	4	642	429	43	22	18.113708	G0
5	1	11	1	4	5	693	435	36	15	23.826637	es,
5	1	11	1	4	6	748	434	51	16	48.986210	aS
5	1	11	1	4	7	820	436	77	13	17.396149	Wes
5	1	11	1	4	8	914	429	44	21	88.099670	wil
5	1	11	1	4	9	976	430	24	20	89.978882	be
5	1	11	1	4	10	1020	429	121	24	73.348190	Clurquda
4	1	11	1	5	0	538	474	421	24	-1	
