level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	1579	-1	
2	1	1	0	0	0	119	0	2239	1492	-1	
3	1	1	1	0	0	119	0	2239	1492	-1	
4	1	1	1	1	0	1666	0	369	15	-1	
5	1	1	1	1	1	1666	0	78	13	32.793007	Mate
5	1	1	1	1	2	1952	0	83	15	5.202248	“2V24YU
4	1	1	1	2	0	368	37	1183	42	-1	
5	1	1	1	2	1	368	61	4	10	31.778618	'
5	1	1	1	2	2	498	37	85	30	96.158508	0345
5	1	1	1	2	3	607	37	67	29	96.158508	13D
5	1	1	1	2	4	696	37	34	29	93.141922	Al
5	1	1	1	2	5	747	37	110	29	93.059486	Manar
5	1	1	1	2	6	871	37	65	29	96.252724	Dist
5	1	1	1	2	7	959	37	174	29	96.456833	DAMMAM
5	1	1	1	2	8	1152	37	116	29	96.531693	SAUDI
5	1	1	1	2	9	1418	68	6	5	0.000000	:
5	1	1	1	2	10	1504	68	47	11	59.161034	—
4	1	1	1	3	0	200	57	1903	69	-1	
5	1	1	1	3	1	200	57	167	69	5.823296	Custamigs
5	1	1	1	3	2	496	59	144	67	96.438133	ARABIA
5	1	1	1	3	3	1395	63	184	39	0.000000	gesllols]
5	1	1	1	3	4	1606	59	40	68	52.044277	|
5	1	1	1	3	5	1686	82	67	29	81.610237	Due
5	1	1	1	3	6	1769	82	77	29	94.181770	Date
5	1	1	1	3	7	1889	82	214	29	5.145180	20-Jan-2026
4	1	1	1	4	0	222	99	1311	45	-1	
5	1	1	1	4	1	222	99	20	45	65.961403	Ss
5	1	1	1	4	2	1451	102	82	37	42.483059	aol
4	1	1	1	5	0	224	126	876	49	-1	
5	1	1	1	5	1	224	146	141	29	32.541595	Address
5	1	1	1	5	2	504	126	24	30	72.065140	\r
5	1	1	1	5	3	584	126	76	29	54.626736	20D
5	1	1	1	5	4	796	126	4	29	71.501450	|
5	1	1	1	5	5	894	126	53	29	87.084801	Icl
5	1	1	1	5	6	1015	127	10	28	87.084801	t
5	1	1	1	5	7	1071	126	29	29	75.129211	4l
4	1	1	1	6	0	795	171	343	35	-1	
5	1	1	1	6	1	795	171	35	35	88.867775	,ol
5	1	1	1	6	2	843	171	179	30	96.098610	ZIP/Postal
5	1	1	1	6	3	1038	171	100	29	96.329422	Code:
4	1	1	1	7	0	729	217	106	29	-1	
5	1	1	1	7	1	729	217	106	29	96.249168	32273
4	1	1	1	8	0	489	270	811	37	-1	
5	1	1	1	8	1	489	270	26	29	94.882462	1.
5	1	1	1	8	2	532	270	38	29	94.882462	10
5	1	1	1	8	3	584	270	81	37	96.748390	days
5	1	1	1	8	4	680	271	119	28	96.639206	returns
5	1	1	1	8	5	815	270	106	37	96.607765	policy.
5	1	1	1	8	6	936	270	29	29	96.588989	2.
5	1	1	1	8	7	980	270	74	29	96.469223	Risk
5	1	1	1	8	8	1068	278	121	29	96.641167	passes
5	1	1	1	8	9	1203	271	31	28	96.585846	to
5	1	1	1	8	10	1247	270	53	29	96.258507	the
4	1	1	1	9	0	496	313	715	37	-1	
5	1	1	1	9	1	496	313	97	37	96.918396	buyer
